energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0.792,0.167,100.011,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1
0.769,0.104,97.985,0.123,0.0293,0.0101,4,0.726,6,233902,-5.043,0.733,1
0.73,0.124,155.008,0.222,0.00513,0.0,4,0.834,8,312820,-3.714,0.446,1
0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.366,0.401,0
0.691,0.0232,118.048,0.0633,0.0584,6.99e-05,4,0.706,0,200600,-4.775,0.632,1
0.56,0.0944,134.066,0.0406,0.013,0.0,4,0.853,1,206693,-4.961,0.86,1
0.452,0.0714,117.401,0.0348,0.543,0.00294,4,0.82,1,253920,-9.796,0.74,1
0.864,0.209,105.143,0.0584,0.00958,0.0,4,0.556,3,216880,-5.87,0.4,0
0.76,0.299,99.947,0.045,0.0797,0.0,4,0.655,0,200787,-3.669,0.409,0
0.809,0.565,98.007,0.0625,0.00346,0.00123,4,0.723,7,176561,-3.081,0.274,0
0.7,0.153,116.073,0.0694,0.00261,1.56e-05,4,0.762,9,209320,-6.021,0.608,0
0.698,0.309,143.994,0.0431,0.049,0.0,4,0.726,5,233478,-4.165,0.867,1
0.825,0.0674,102.977,0.0601,0.00883,0.0,4,0.702,6,203064,-3.787,0.915,0
0.811,0.078,121.995,0.0553,0.375,0.0,4,0.866,11,199440,-4.063,0.969,0
0.372,0.169,91.931,0.0443,0.638,0.0,4,0.715,5,201000,-8.237,0.474,1
0.42,0.11,84.126,0.0416,0.588,6.39e-05,4,0.413,0,172724,-6.444,0.185,1
0.8,0.0915,116.032,0.0309,0.0354,7.25e-05,4,0.795,1,202735,-6.32,0.934,1
0.523,0.132,104.988,0.03,0.184,3.56e-05,4,0.765,2,217307,-4.333,0.394,1
0.912,0.106,116.761,0.0564,2.55e-05,0.000173,4,0.502,1,301920,-4.556,0.72,1
0.488,0.0936,136.07,0.0705,0.293,9.2e-06,4,0.752,6,201661,-7.05,0.533,1
0.825,0.543,118.049,0.0309,0.0212,1.21e-05,4,0.679,0,215627,-5.487,0.644,1
0.865,0.234,174.53,0.0381,0.000453,0.0,4,0.372,2,258733,-4.918,0.478,1
0.865,0.77,156.271,0.16,0.0472,0.000191,4,0.563,5,209413,-5.277,0.601,1
0.327,0.0821,91.05,0.0557,0.841,0.0,4,0.775,11,189486,-7.241,0.595,1
0.748,0.447,118.852,0.0363,0.127,0.0,4,0.5,4,250987,-9.072,0.514,1
0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,4,0.856,0,269667,-7.223,0.928,1
0.691,0.0476,150.087,0.0672,0.0221,0.0,4,0.741,10,212353,-7.395,0.892,0
0.735,0.161,88.98,0.0391,0.0521,0.144,4,0.644,8,153947,-5.747,0.418,1
0.902,0.0928,84.412,0.054,0.018,0.00125,4,0.573,6,225280,-7.638,0.876,0
0.573,0.113,109.928,0.0544,0.401,5.22e-05,4,0.731,4,205090,-10.059,0.145,0
0.804,0.253,123.146,0.0364,0.215,0.0,4,0.63,6,220293,-4.183,0.492,1
0.847,0.0816,171.447,0.186,0.0622,0.0,4,0.548,1,297787,-3.237,0.1,1
0.33,0.0975,135.109,0.0285,0.892,0.0,4,0.559,9,285040,-8.251,0.285,1
0.714,0.0843,101.969,0.111,0.0353,8.42e-06,4,0.664,7,197933,-6.645,0.71,0
0.442,0.11,146.277,0.0243,0.731,1.46e-05,4,0.557,5,309600,-7.224,0.213,1
0.651,0.111,90.011,0.0306,0.0291,3.2e-06,4,0.589,6,212627,-5.097,0.166,1
